brand,sell_type,price,name,discount_price
雅诗兰黛/EsteeLauder,一口价,349,雅诗兰黛 青春凝时抗皱系列 滋润眼霜15ml 面霜50ml 可选,435
迪奥（Dior）,一口价,219,Dior迪奥粉漾魅惑变色润唇膏 3.5g  粉嫩水润,249
杰士邦,一口价,69,新品  杰士邦3D大颗粒12只装避孕套,90
科颜氏/Kiehls,一口价,249,科颜氏高保湿面霜 角鲨烷保湿霜50ml 125ml,300
玛丽黛佳,一口价,75,玛丽黛佳元气缤纷四色眼影（1盘4色）,99
虞美人,一口价,139,虞美人梳子玫瑰礼盒套装,139
杰士邦,一口价,79,新品  杰士邦经典四合一24只装避孕套,100
杰士邦,一口价,59,新品  jissbon杰士邦敢做敢爱10只装避孕套,60
BlackMores/澳佳宝,一口价,89,澳洲BLACKMORES澳佳宝维生素E润肤霜 50g两只,278
兰蔻,一口价,409,兰蔻大眼精华眼部精华肌底液20ml,599
希思黎/Sisley,一口价,159,希思黎旅行套装7件套,299
DAISO/大创,一口价,39,新品  DAISO大创 粉扑清洗剂,39
彼得罗夫,一口价,199,新品 彼得罗夫小黄瓜青瓜补水啫喱面膜150ml,388
素野,一口价,396,素野心水保湿三件套  2套装,596
舒客,一口价,69,舒客早晚牙膏 流光白活炭  立清火 （65g+65g）3组装,85.5
KISS,一口价,199,KISS粉红色卷发棒 快速升温  防止打结  包装新升级   赠彩虹气垫梳,239
杜蕾斯,一口价,105,杜蕾斯 超薄尊享三合一和活力装12只 赠亲昵装4只,119
小迷糊,一口价,398,精品套包 相宜本草红景天淡纹红运礼盒,398
鸢苏,一口价,79,鸢苏时尚经典活色健康指彩礼盒   赠礼袋,168
Eaoron,一口价,209,新品 澳洲EAORON涂抹式减脂膏 150ml,220
一叶子,一口价,398,一叶子覆盆子紧致细肤四件套（洁面+保湿水+保湿乳+面霜套盒）,398
蒂欧尼,一口价,99,蒂欧尼美容喷雾补水仪N7升级版,99
化妆品1,一口价,219,韩束耀水嫩山茶花宠爱礼盒（洁面+保湿露+保湿乳+精华霜）,299
兰芝,一口价,159,兰芝水衡清盈保湿乳120ml 兰芝水衡透润保湿乳 120ml,178
雅诗兰黛/EsteeLauder,一口价,389,雅诗兰黛ANR小棕瓶特润修护肌透精华露 精萃蜜 胶囊可选 钢铁侠面膜可选,699
玛丽黛佳,一口价,149,玛丽黛佳星际口红5支唇膏口红全套小样组合彩妆套装,149
马克·雅可布(MARCJACOBS),一口价,369,Marc Jacobs马克雅可布小雏菊女士淡香水50ml,399
菲拉格慕/Ferragamo,一口价,145,菲拉格慕女士淡香水多款可选,299
娇兰,一口价,359,新品  法国娇兰幻彩流星蜜粉餅10g  一抹璀璨  美颜光芒,359
化妆品1,一口价,65,一叶子泥膜150g 可选（绿 黑 粉 可选）,89
Mistine,一口价,69,Mistine24小时轻薄透气散粉透明色 22g,79
原生黄,一口价,104,原生黄超薄卫生巾3+2组合（5盒）,150
JAYJUN,一口价,109,JAYJUN 新生能量绿茶眼膜 洛神花眼膜,199
优资莱,一口价,139,优资莱白茶素颜霜 50g,288
DIAFORCE,一口价,79,DIAFORCE 黄金钻石眼膜 贵妇眼膜 60片  抗细纹 淡化黑眼圈  一盒两盒可选,99
柳屋/YANAGIYA,一口价,89,日本柳屋头皮营养液 滋养头皮 240ml,169
魅可,一口价,149,MAC魅可 时尚唇膏口红3G 持久显色 滋润补水 裸妆多色,199
Mistine,一口价,69,Mistine泰国4D睫毛膏 防水不晕染 卷翘浓密纤长 5.5g,99
薇诺娜,一口价,219,新品 薇诺娜柔润保湿补水欣享套组,314
薇诺娜,一口价,119,新品 薇诺娜隐形消 痘趣味贴组合,194
AMIRO,一口价,399,新品  AMIRO 高清Led日光镜全新mini款,399
panggao攀高,一口价,499,新品  攀高智能腰腹部按摩仪,499
女装-1,一口价,1599,【秒杀】refa经典2轮,1599
Balea,一口价,109,Balea芭乐雅提拉紧致保湿玻尿酸精华 平衡舒缓蓝盒多盒可选,158
相宜本草,一口价,39,相宜本草芯净自然净妆洁面两用乳80g每只,49
美宝莲,一口价,69,美宝莲橡皮擦遮瑕笔 6ml,99
薇婷/Veet,一口价,49.9,薇婷丝滑沁香脱毛膏 温和护肤型 80g,99
化妆品1,一口价,39,一叶子芦荟凝胶 180g每盒 规格可选,39
涵佩,一口价,99,超吸油 想瘦哪里喷哪里 日本进口 涵佩美体紧实噼里啪啦喷雾 150g,189
爱敬,一口价,159,Aekyung AGE 20’ 爱敬 爱纪二十之 精华气垫BB霜粉底膏白盒 粉盒两款可选 带替换装,199
谜尚,一口价,69,谜尚修容防晒BB霜 50ml  防晒裸妆一支到位,99
